Register Output,Fraction,Guess for r,guess1,guess2
011111(bin) =  31(dec),16/33,33,5,1
011110(bin) =  30(dec),15/32,32,5,1
010100(bin) =  20(dec),5/16,16,5,1
100101(bin) =  37(dec),26/45,45,1,5
011000(bin) =  24(dec),3/8,8,5,1
101110(bin) =  46(dec),23/32,32,5,1
101111(bin) =  47(dec),36/49,49,5,1
011100(bin) =  28(dec),7/16,16,5,1
111010(bin) =  58(dec),29/32,32,5,1
111100(bin) =  60(dec),15/16,16,5,1
001000(bin) =   8(dec),1/8,8,5,1
111011(bin) =  59(dec),47/51,51,1,11
010110(bin) =  22(dec),11/32,32,5,1
010001(bin) =  17(dec),13/49,49,5,1
110010(bin) =  50(dec),25/32,32,5,1
101100(bin) =  44(dec),11/16,16,5,1
001100(bin) =  12(dec),3/16,16,5,1
101000(bin) =  40(dec),5/8,8,5,1
001010(bin) =  10(dec),5/32,32,5,1
100010(bin) =  34(dec),17/32,32,5,1
010010(bin) =  18(dec),9/32,32,5,1
100100(bin) =  36(dec),9/16,16,5,1
000010(bin) =   2(dec),1/32,32,5,1
111000(bin) =  56(dec),7/8,8,5,1
010000(bin) =  16(dec),1/4,4,1,5
100110(bin) =  38(dec),19/32,32,5,1
001110(bin) =  14(dec),7/32,32,5,1
010011(bin) =  19(dec),11/37,37,1,5
110111(bin) =  55(dec),43/50,50,1,11
011101(bin) =  29(dec),24/53,53,1,5
100011(bin) =  35(dec),29/53,53,1,5
101101(bin) =  45(dec),26/37,37,1,5
011011(bin) =  27(dec),19/45,45,1,5
001001(bin) =   9(dec),7/50,50,1,11
110000(bin) =  48(dec),3/4,4,1,5
100001(bin) =  33(dec),17/33,33,5,1
011010(bin) =  26(dec),13/32,32,5,1
111110(bin) =  62(dec),31/32,32,5,1
000100(bin) =   4(dec),1/16,16,5,1
101010(bin) =  42(dec),21/32,32,5,1
110110(bin) =  54(dec),27/32,32,5,1
000110(bin) =   6(dec),3/32,32,5,1
